City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
257,Gondar,ET,12.6,37.4667,54.82,59,85,5.82,2022-01-30 04:28:35
258,Beringovskiy,RU,63.05,179.3167,-12.69,100,77,2.98,2022-01-30 04:28:36
259,Dudinka,RU,69.4058,86.1778,-2.38,95,100,12.33,2022-01-30 04:28:36
260,Atar,MR,20.5169,-13.0499,71.71,23,99,7.0,2022-01-30 04:27:22
261,Sao Filipe,CV,14.8961,-24.4956,70.56,73,76,11.18,2022-01-30 04:27:47
262,Asyut,EG,27.181,31.1837,42.98,65,0,4.92,2022-01-30 04:27:40
263,Christchurch,NZ,-43.5333,172.6333,73.6,52,96,1.01,2022-01-30 04:28:29
264,Panaba,MX,21.2833,-88.2667,65.03,61,77,10.47,2022-01-30 04:28:37
265,Herre,NO,59.1,9.5667,44.08,42,3,17.34,2022-01-30 04:28:38
266,Aldan,RU,58.6031,125.3894,-5.01,91,100,4.03,2022-01-30 04:28:39
267,Deputatskiy,RU,69.3,139.9,-20.49,99,95,2.24,2022-01-30 04:28:39
268,Esperance,AU,-33.8667,121.9,98.44,45,6,13.38,2022-01-30 04:28:39
269,Airai,TL,-8.9266,125.4092,65.03,82,100,4.23,2022-01-30 04:26:28
270,Seriate,IT,45.6834,9.7229,45.79,64,7,4.61,2022-01-30 04:29:40
271,Kathu,TH,7.9178,98.3332,89.42,69,77,6.4,2022-01-30 04:29:40
272,Brae,GB,60.3964,-1.353,39.11,63,72,21.9,2022-01-30 04:29:41
273,Lompoc,US,34.6391,-120.4579,60.13,78,0,4.61,2022-01-30 04:29:41
274,Waipawa,NZ,-41.4122,175.5153,65.93,53,6,12.35,2022-01-30 04:29:41
275,Saint-Pierre,RE,-21.3393,55.4781,82.08,74,0,17.27,2022-01-30 04:29:42
276,Kaitangata,NZ,-46.2817,169.8464,57.6,95,100,2.93,2022-01-30 04:26:27
277,Spas-Klepiki,RU,55.1347,40.1767,11.93,98,94,4.09,2022-01-30 04:29:42
278,Saint Anthony,US,45.0205,-93.218,19.92,76,0,4.0,2022-01-30 04:29:43
279,Port-Cartier,CA,50.0334,-66.8654,7.02,88,100,17.02,2022-01-30 04:29:43
280,Dhuri,IN,30.3667,75.8667,54.12,59,5,9.22,2022-01-30 04:29:43
281,Saldanha,ZA,-33.0117,17.9442,60.85,84,0,10.49,2022-01-30 04:25:10
282,Mehamn,NO,71.0357,27.8492,18.16,87,82,5.84,2022-01-30 04:29:44
283,Jatiroto,ID,-7.8833,111.1167,82.76,74,88,5.23,2022-01-30 04:29:44
284,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.28,95,100,7.67,2022-01-30 04:29:45
285,Ploemeur,FR,47.7333,-3.4333,47.82,93,100,2.3,2022-01-30 04:29:45
286,Pestravka,RU,52.405,49.9583,31.95,98,100,11.68,2022-01-30 04:29:46
287,Hokitika,NZ,-42.7167,170.9667,67.87,65,70,10.56,2022-01-30 04:29:46
288,Harlingen,US,26.1906,-97.6961,54.34,50,0,3.44,2022-01-30 04:27:47
289,Saint George,US,37.1041,-113.5841,50.34,27,0,4.0,2022-01-30 04:26:28
290,Trairi,BR,-3.2778,-39.2689,74.66,89,99,5.46,2022-01-30 04:28:51
291,Cayenne,GF,4.9333,-52.3333,77.09,89,75,5.01,2022-01-30 04:29:47
